iter	RMSE
0	11.52460403
1	11.52158851
2	11.51837789
3	11.51485077
4	11.51212204
5	11.50943541
6	11.50640233
7	11.50306034
8	11.50089063
9	11.49778277
10	11.49484351
11	11.49259977
12	11.49021322
13	11.48749512
14	11.48544316
15	11.4833952
16	11.48038324
17	11.4777904
18	11.4750706
19	11.47256808
20	11.47024578
21	11.46758262
22	11.46585937
23	11.463449
24	11.46112068
25	11.45813021
26	11.45610655
27	11.45341566
28	11.45080986
29	11.44895101
30	11.44732594
31	11.4462258
32	11.44350637
33	11.4409812
34	11.43906744
35	11.43666001
36	11.43412998
37	11.43209373
38	11.43084657
39	11.42758877
40	11.4247398
41	11.42183289
42	11.4188819
43	11.417029
44	11.41465581
45	11.4122121
46	11.40943636
47	11.40670393
48	11.40437028
49	11.40158092
50	11.39959973
51	11.39773447
52	11.39590627
53	11.39377041
54	11.39214297
55	11.39050761
56	11.38765806
57	11.38526448
58	11.38357826
59	11.38176289
60	11.37898926
61	11.37682325
62	11.3743825
63	11.37232425
64	11.37017018
65	11.36688172
66	11.36436607
67	11.36145969
68	11.35837912
69	11.35587857
70	11.35413851
71	11.35152442
72	11.34853129
73	11.34651708
74	11.34376276
75	11.34083628
76	11.33783592
77	11.33500225
78	11.33362962
79	11.33103919
80	11.3284481
81	11.32679154
82	11.32455525
83	11.32142405
84	11.31919232
85	11.31685102
86	11.31450118
87	11.3124033
88	11.30924576
89	11.30735343
90	11.30515961
91	11.30296031
92	11.301059
93	11.29868356
94	11.29697881
95	11.29436407
96	11.29177219
97	11.28966164
98	11.28772936
99	11.28537697
100	11.28322253
101	11.28116312
102	11.27879493
103	11.27668415
104	11.27391835
105	11.27196208
106	11.27015259
107	11.26748666
108	11.26570206
109	11.26403326
110	11.26145958
111	11.25988045
112	11.25795955
113	11.2558697
114	11.25337136
115	11.25086261
116	11.24845106
117	11.24618712
118	11.24402869
119	11.24274764
120	11.24088058
121	11.23875584
122	11.2359059
123	11.23310781
124	11.23059374
125	11.22824056
126	11.22586845
127	11.22340803
128	11.22108102
129	11.21856999
130	11.21635647
131	11.21417231
132	11.21127467
133	11.20902156
134	11.20619822
135	11.2040117
136	11.20081831
137	11.19859096
138	11.19676235
139	11.19395624
140	11.19228372
141	11.190284
142	11.18789238
143	11.18582772
144	11.18356413
145	11.18076604
146	11.17885444
147	11.17599512
148	11.17382271
149	11.17219718
150	11.16959244
151	11.16789571
152	11.16567796
153	11.16303091
154	11.16104058
155	11.15870873
156	11.15711197
157	11.15488084
158	11.15201708
159	11.14927123
160	11.14814922
161	11.14625109
162	11.14493152
163	11.14247539
164	11.14067171
165	11.13837715
166	11.13634361
167	11.13451632
168	11.13243805
169	11.13001013
170	11.12704615
171	11.12469289
172	11.12216829
173	11.11962898
174	11.11731842
175	11.1149679
176	11.11357829
177	11.11119034
178	11.10904219
179	11.10614444
180	11.10427586
181	11.10238054
182	11.09960305
183	11.09769315
184	11.09539152
185	11.09357649
186	11.09182821
187	11.09012482
188	11.0887756
189	11.0875028
190	11.08473087
191	11.08277505
192	11.08059856
193	11.07808618
194	11.07571502
195	11.07326306
196	11.07123916
197	11.06895229
198	11.06665229
199	11.0644469
200	11.06258169
201	11.06089917
202	11.05924871
203	11.05651864
204	11.05392777
205	11.05251027
206	11.05013429
207	11.04784566
208	11.0454036
209	11.04298291
210	11.0408148
211	11.03885409
212	11.03682429
213	11.03476773
214	11.03274305
215	11.03054246
216	11.02846758
217	11.02615857
218	11.02468378
219	11.02195127
220	11.01971959
221	11.01714224
222	11.01493075
223	11.01307848
224	11.01080367
225	11.0089328
226	11.00703217
227	11.00482733
228	11.0020811
229	11.00001246
230	10.99742189
231	10.99610371
232	10.99415926
233	10.99290749
234	10.99046374
235	10.98851155
236	10.98635103
237	10.98432521
238	10.98175893
239	10.98019171
240	10.97855928
241	10.97657185
242	10.97435891
243	10.97187097
244	10.97009083
245	10.9684019
246	10.96615555
247	10.96409908
248	10.96244643
249	10.96023341
250	10.95761334
251	10.9553697
252	10.95374187
253	10.95224989
254	10.95029435
255	10.94781441
256	10.94639055
257	10.94437965
258	10.94235688
259	10.93992679
260	10.93823053
261	10.93672842
262	10.9341619
263	10.93178673
264	10.92921178
265	10.927189
266	10.92543053
267	10.92291963
268	10.920833
269	10.91932075
270	10.91694061
271	10.91496753
272	10.91311614
273	10.91130362
274	10.90918129
275	10.90692513
276	10.90458054
277	10.90219319
278	10.89952805
279	10.8975469
280	10.89527941
281	10.89348022
282	10.89206294
283	10.88981535
284	10.88854019
285	10.88700603
286	10.88486565
287	10.88266064
288	10.88008692
289	10.87766846
290	10.87617264
291	10.8748611
292	10.87250719
293	10.87056248
294	10.86904473
295	10.8667437
296	10.86485076
297	10.8624899
298	10.86068939
299	10.85875127
300	10.85702993
301	10.85542313
302	10.85351667
303	10.85105721
304	10.84952733
305	10.84759657
306	10.84600686
307	10.84448546
308	10.84202164
309	10.84035576
310	10.83861073
311	10.83671326
312	10.83438488
